"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test editing personal details with debugging","0","test_to_edit_bvn","tests_pages","Tue Mar 03 04:15:53 UTC 2026","broken","Tue Mar 03 04:15:53 UTC 2026","TestBvnPage","test_bvn","",""
"Verify successful login with valid credentials using POM.","4409","test_login_with_valid_credentials_with_pom","tests_pages","Tue Mar 03 04:15:50 UTC 2026","passed","Tue Mar 03 04:15:55 UTC 2026","TestUserLogins","test_user_logins","",""
"Test Add New Identity ","0","test_to_add_identity","tests_pages","Tue Mar 03 04:15:57 UTC 2026","failed","Tue Mar 03 04:15:57 UTC 2026","TestIdentityPage","test_identity","",""
"Test edit emergency contact with debugging","0","test_to_edit_new_emergency_contact","tests_pages","Tue Mar 03 04:15:53 UTC 2026","broken","Tue Mar 03 04:15:53 UTC 2026","TestEmergencyContactPage","test_self_service_emergency_contact","",""
"Test Add New emergency contact with debugging","1247","test_to_add_new_emergency_contact","tests_pages","Tue Mar 03 04:17:33 UTC 2026","passed","Tue Mar 03 04:17:34 UTC 2026","TestEmergencyContactPage","test_self_service_emergency_contact","",""
"Test editing personal details with debugging","0","test_edit_personal_details","tests_pages","Tue Mar 03 04:15:57 UTC 2026","failed","Tue Mar 03 04:15:57 UTC 2026","TestEditSelfServicePage","test_self_service_personal_data","",""
"Test editing personal details with debugging","2107","test_to_edit_identity","tests_pages","Tue Mar 03 04:16:05 UTC 2026","passed","Tue Mar 03 04:16:07 UTC 2026","TestIdentityPage","test_identity","",""
"Test Add New Bank details with debugging","6714","test_to_add_new_bank_details","tests_pages","Tue Mar 03 04:16:13 UTC 2026","passed","Tue Mar 03 04:16:20 UTC 2026","TestAddBankDetailsPage","test_self_service_bank_details","",""
"Verify login with explicitly provided credentials.","1403","test_login_with_no_username","tests_pages","Tue Mar 03 04:16:01 UTC 2026","passed","Tue Mar 03 04:16:02 UTC 2026","TestUserLogins","test_user_logins","",""
"Verify home page loads correctly with Page Object Model.","1588","test_go_to_home_page_with_pom","tests_pages","Tue Mar 03 04:16:07 UTC 2026","passed","Tue Mar 03 04:16:08 UTC 2026","TestUserLogins","test_user_logins","",""
"Verify login with explicitly provided credentials.","2320","test_login_with_wrong_password","tests_pages","Tue Mar 03 04:15:57 UTC 2026","passed","Tue Mar 03 04:15:59 UTC 2026","TestUserLogins","test_user_logins","",""
"Verify login with explicitly provided credentials.","2307","test_login_with_wrong_username","tests_pages","Tue Mar 03 04:15:55 UTC 2026","passed","Tue Mar 03 04:15:57 UTC 2026","TestUserLogins","test_user_logins","",""
"Verify login with explicitly provided credentials.","1416","test_login_with_no_password","tests_pages","Tue Mar 03 04:15:59 UTC 2026","passed","Tue Mar 03 04:16:01 UTC 2026","TestUserLogins","test_user_logins","",""
"Test editing personal details with debugging","0","test_to_edit_bank_details","tests_pages","Tue Mar 03 04:15:53 UTC 2026","broken","Tue Mar 03 04:15:53 UTC 2026","TestAddBankDetailsPage","test_self_service_bank_details","",""
